benchmark,run,result
clobber-arg,baseline,3
clobber-arg,myopt,3
nonlocal,baseline,7
nonlocal,myopt,5
clobber-fold,baseline,10
clobber-fold,myopt,2
redundant,baseline,6
redundant,myopt,2
redundant-dce,baseline,6
redundant-dce,myopt,2
reassign,baseline,3
reassign,myopt,2
problem,baseline,8
problem,myopt,5
divide-by-zero,baseline,4
divide-by-zero,myopt,2
idchain,baseline,5
idchain,myopt,2
problem2,baseline,8
problem2,myopt,5
clobber,baseline,10
clobber,myopt,2
rename-fold,baseline,7
rename-fold,myopt,4
