benchmark,run,result
quadratic,baseline,785
quadratic,myopt,incorrect
recfact-updated,baseline,missing
recfact-updated,myopt,missing
montgomery,baseline,17
montgomery,myopt,incorrect
primes-between,baseline,574100
primes-between,myopt,timeout
birthday,baseline,484
birthday,myopt,369
mod_pow,baseline,243
mod_pow,myopt,incorrect
orders,baseline,5352
orders,myopt,incorrect
sum-check,baseline,5018
sum-check,myopt,incorrect
palindrome,baseline,298
palindrome,myopt,41
totient,baseline,253
totient,myopt,timeout
fib_recursive,baseline,2693
fib_recursive,myopt,2341
relative-primes,baseline,1923
relative-primes,myopt,incorrect
hanoi,baseline,99
hanoi,myopt,incorrect
is-decreasing,baseline,127
is-decreasing,myopt,118
check-primes,baseline,8468
check-primes,myopt,incorrect
sum-sq-diff,baseline,3038
sum-sq-diff,myopt,incorrect
fitsinside,baseline,10
fitsinside,myopt,incorrect
fact,baseline,229
fact,myopt,228
loopfact,baseline,116
loopfact,myopt,115
recfact,baseline,104
recfact,myopt,87
geometric-sum,baseline,35
geometric-sum,myopt,incorrect
factors,baseline,72
factors,myopt,incorrect
perfect,baseline,232
perfect,myopt,incorrect
bitshift,baseline,167
bitshift,myopt,incorrect
digital-root,baseline,247
digital-root,myopt,incorrect
up-arrow,baseline,252
up-arrow,myopt,252
mccarthy91,baseline,1385
mccarthy91,myopt,1385
sum-divisors,baseline,159
sum-divisors,myopt,incorrect
permutation,baseline,130
permutation,myopt,127
ackermann,baseline,1464231
ackermann,myopt,incorrect
pythagorean_triple,baseline,61518
pythagorean_triple,myopt,incorrect
euclid,baseline,563
euclid,myopt,incorrect
bbs,baseline,137
bbs,myopt,incorrect
binary-fmt,baseline,100
binary-fmt,myopt,incorrect
lcm,baseline,2326
lcm,myopt,incorrect
gcd,baseline,46
gcd,myopt,46
catalan,baseline,659378
catalan,myopt,659378
armstrong,baseline,133
armstrong,myopt,incorrect
pascals-row,baseline,146
pascals-row,myopt,incorrect
collatz,baseline,169
collatz,myopt,incorrect
sum-bits,baseline,73
sum-bits,myopt,72
sqrt_bin_search,baseline,744
sqrt_bin_search,myopt,incorrect
rectangles-area-difference,baseline,14
rectangles-area-difference,myopt,incorrect
pythagorean_triple_updated,baseline,missing
pythagorean_triple_updated,myopt,missing
mod_inv,baseline,558
mod_inv,myopt,incorrect
karatsuba,baseline,1548
karatsuba,myopt,incorrect
reverse,baseline,46
reverse,myopt,incorrect
fizz-buzz,baseline,3652
fizz-buzz,myopt,incorrect
bitwise-ops,baseline,1690
bitwise-ops,myopt,1177
sum-digits,baseline,219
sum-digits,myopt,158
delannoy,baseline,5748752
delannoy,myopt,incorrect
um-digits,baseline,219
sum-digits,myopt,158
delannoy,baseline,5748752
delannoy,myopt,incorrect
